,Country,Year,LPI_Score,LPI_Score_Interpolated
466,Denmark,2021,,4.0567436
467,Denmark,2022,,4.0783718
468,Denmark,2023,4.1,4.1
469,Denmark,2024,,4.1
470,Djibouti,2015,,2.32254
471,Djibouti,2016,2.32254,2.32254
472,Djibouti,2017,,2.4785805
473,Djibouti,2018,2.634621,2.634621
474,Djibouti,2019,,2.6476968
475,Djibouti,2020,,2.6607726
476,Djibouti,2021,,2.6738484
477,Djibouti,2022,,2.6869242
478,Djibouti,2023,2.7,2.7
479,Djibouti,2024,,2.7
480,Dominican Republic,2015,,2.62728
481,Dominican Republic,2016,2.62728,2.62728
482,Dominican Republic,2017,,2.6445225
483,Dominican Republic,2018,2.661765,2.661765
484,Dominican Republic,2019,,2.649412
485,Dominican Republic,2020,,2.637059
486,Dominican Republic,2021,,2.624706
487,Dominican Republic,2022,,2.612353
488,Dominican Republic,2023,2.6,2.6
489,Dominican Republic,2024,,2.6
490,Ecuador,2015,,2.779081
491,Ecuador,2016,2.779081,2.779081
492,Ecuador,2017,,2.830365
493,Ecuador,2018,2.881649,2.881649
494,Ecuador,2019,,2.881649
495,Ecuador,2020,,2.881649
496,Ecuador,2021,,2.881649
497,Ecuador,2022,,2.881649
498,Ecuador,2023,,2.881649
499,Ecuador,2024,,2.881649
500,Egypt,2015,,
501,Egypt,2016,,
502,Egypt,2017,,
503,Egypt,2018,,
504,Egypt,2019,,
505,Egypt,2020,,
506,Egypt,2021,,
507,Egypt,2022,,
508,Egypt,2023,,
509,Egypt,2024,,
510,"Egypt, Arab Rep,",2015,,3.184964
511,"Egypt, Arab Rep,",2016,3.184964,3.184964
512,"Egypt, Arab Rep,",2017,,3.184964
513,"Egypt, Arab Rep,",2018,,3.184964
514,"Egypt, Arab Rep,",2019,,3.184964
515,"Egypt, Arab Rep,",2020,,3.184964
516,"Egypt, Arab Rep,",2021,,3.184964
517,"Egypt, Arab Rep,",2022,,3.184964
518,"Egypt, Arab Rep,",2023,,3.184964
519,"Egypt, Arab Rep,",2024,,3.184964
520,"Egypt, Arab Rep.",2015,,2.824902
521,"Egypt, Arab Rep.",2016,,2.824902
522,"Egypt, Arab Rep.",2017,,2.824902
523,"Egypt, Arab Rep.",2018,2.824902,2.824902
524,"Egypt, Arab Rep.",2019,,2.8799216
525,"Egypt, Arab Rep.",2020,,2.9349412
526,"Egypt, Arab Rep.",2021,,2.9899608
527,"Egypt, Arab Rep.",2022,,3.0449804
528,"Egypt, Arab Rep.",2023,3.1,3.1
529,"Egypt, Arab Rep.",2024,,3.1
530,El Salvador,2015,,2.705726
531,El Salvador,2016,2.705726,2.705726
532,El Salvador,2017,,2.6406235
533,El Salvador,2018,2.575521,2.575521
534,El Salvador,2019,,2.6004168
535,El Salvador,2020,,2.6253126
536,El Salvador,2021,,2.6502084
537,El Salvador,2022,,2.6751042
538,El Salvador,2023,2.7,2.7
539,El Salvador,2024,,2.7
540,Equatorial Guinea,2015,,1.87919
541,Equatorial Guinea,2016,1.87919,1.87919
542,Equatorial Guinea,2017,,2.0984165
